batter,total_runs,balls_faced,total_dots,player_strike_rate,player_dot_percent
Akash Madhwal,4,5,2,80.0,40.0
Aman Hakim Khan,115,109,55,105.50458715596329,50.45871559633027
Anirudh Singh,63,69,34,91.30434782608695,49.275362318840585
Ankit Sharma,87,69,29,126.08695652173914,42.028985507246375
Ankit Soni,7,9,7,77.77777777777779,77.77777777777779
Anmolpreet Singh,139,117,55,118.80341880341881,47.008547008547005
Anuj Rawat,318,276,123,115.21739130434783,44.565217391304344
Anureet Singh,36,47,22,76.59574468085107,46.808510638297875
Arjun Tendulkar,13,9,2,144.44444444444443,22.22222222222222
Arshad Khan,96,67,24,143.28358208955223,35.82089552238806
Arshad Khan (2),5,4,2,125.0,50.0
Arshdeep Singh,29,42,29,69.04761904761905,69.04761904761905
Ashutosh Sharma,189,118,43,160.16949152542372,36.440677966101696
Atharva Taide,247,177,67,139.54802259887003,37.85310734463277
Avesh Khan,41,25,10,164.0,40.0
Azhar Mahmood,388,311,124,124.7588424437299,39.87138263665595
Azmatullah Omarzai,42,34,11,123.52941176470588,32.35294117647059
B Akhil,76,57,26,133.33333333333331,45.614035087719294
B Chipli,280,256,110,109.375,42.96875
B Indrajith,21,31,18,67.74193548387096,58.06451612903226
B Kumar,306,338,159,90.53254437869822,47.0414201183432
B Laughlin,5,13,8,38.46153846153847,61.53846153846154
B Lee,124,102,46,121.56862745098039,45.09803921568628
B Sai Sudharsan,1034,770,244,134.28571428571428,31.68831168831169
B Stanlake,5,2,0,250.0,0.0
B Sumanth,35,38,15,92.10526315789474,39.473684210526315
BA Bhatt,6,7,6,85.71428571428571,85.71428571428571
BA Stokes,935,718,253,130.22284122562675,35.23676880222841
BAW Mendis,3,6,3,50.0,50.0
BB McCullum,2882,2272,1028,126.84859154929578,45.24647887323944
BB Samantray,125,116,48,107.75862068965519,41.37931034482759
BB Sran,10,14,5,71.42857142857143,35.714285714285715
BCJ Cutting,238,146,58,163.013698630137,39.726027397260275
BE Hendricks,1,3,2,33.33333333333333,66.66666666666666
BJ Haddin,18,11,5,163.63636363636365,45.45454545454545
BJ Hodge,1400,1153,439,121.42237640936686,38.074588031222895
BJ Rohrer,193,146,57,132.1917808219178,39.04109589041096
BMAJ Mendis,23,27,8,85.18518518518519,29.629629629629626
BR Dunk,40,36,20,111.11111111111111,55.55555555555556
BR Sharath,2,5,3,40.0,60.0
Basil Thampi,32,37,16,86.48648648648648,43.24324324324324
Bipul Sharma,187,124,34,150.80645161290323,27.419354838709676
C Green,707,472,144,149.78813559322032,30.508474576271187
C Madan,15,21,15,71.42857142857143,71.42857142857143
C Munro,177,144,68,122.91666666666667,47.22222222222222
C Nanda,0,1,1,0.0,100.0
C Sakariya,20,31,21,64.51612903225806,67.74193548387096
C de Grandhomme,303,229,86,132.31441048034935,37.55458515283843
CA Ingram,205,183,78,112.02185792349727,42.62295081967213
CA Lynn,1329,974,416,136.4476386036961,42.71047227926078
CA Pujara,390,403,200,96.7741935483871,49.62779156327544
CH Gayle,4997,3516,1636,142.1217292377702,46.53014789533561
CH Morris,618,413,134,149.636803874092,32.445520581113804
CJ Anderson,538,436,200,123.39449541284404,45.87155963302752
CJ Ferguson,98,119,58,82.35294117647058,48.739495798319325
CJ Jordan,81,81,38,100.0,46.913580246913575
CJ McKay,8,15,8,53.333333333333336,53.333333333333336
CK Kapugedera,16,24,10,66.66666666666666,41.66666666666667
CK Langeveldt,8,9,6,88.88888888888889,66.66666666666666
CL White,971,774,274,125.45219638242895,35.400516795865634
CM Gautam,169,158,84,106.9620253164557,53.16455696202531
CR Brathwaite,181,120,53,150.83333333333334,44.166666666666664
CR Woakes,78,77,33,101.29870129870129,42.857142857142854
CRD Fernando,4,3,0,133.33333333333331,0.0
CV Varun,25,49,31,51.02040816326531,63.26530612244898
D Brevis,230,176,83,130.6818181818182,47.159090909090914
D Ferreira,8,11,5,72.72727272727273,45.45454545454545
D Kalyankrishna,3,8,5,37.5,62.5
D Padikkal,1559,1323,564,117.83824640967498,42.63038548752834
D Pretorius,44,28,10,157.14285714285714,35.714285714285715
D Salunkhe,33,24,8,137.5,33.33333333333333
D Wiese,148,105,34,140.95238095238096,32.38095238095238
D du Preez,10,13,5,76.92307692307693,38.46153846153847
DA Miller,2924,2171,726,134.68447719944726,33.440810686319665
DA Warner,6567,4849,1873,135.4299855640338,38.62652093215096
DAJ Bracewell,12,9,1,133.33333333333331,11.11111111111111
DB Das,304,267,124,113.85767790262172,46.441947565543074
DB Ravi Teja,375,325,124,115.38461538461537,38.15384615384615
DE Bollinger,21,23,11,91.30434782608695,47.82608695652174
DG Nalkande,12,12,5,100.0,41.66666666666667
DH Yagnik,170,142,62,119.71830985915493,43.66197183098591
DJ Bravo,1560,1247,498,125.10024057738573,39.93584603047314
DJ Harris,111,103,52,107.76699029126213,50.48543689320388
DJ Hooda,1466,1170,402,125.2991452991453,34.35897435897436
DJ Hussey,1322,1101,425,120.07266121707538,38.60127157129882
DJ Jacobs,92,101,62,91.0891089108911,61.386138613861384
DJ Malan,26,26,10,100.0,38.46153846153847
DJ Mitchell,351,274,82,128.1021897810219,29.927007299270077
DJ Muthuswami,1,3,2,33.33333333333333,66.66666666666666
DJ Thornely,39,54,31,72.22222222222221,57.407407407407405
DJ Willey,53,64,36,82.8125,56.25
DJG Sammy,295,251,108,117.52988047808766,43.02788844621514
DJM Short,115,102,48,112.74509803921569,47.05882352941176
DL Chahar,80,61,24,131.14754098360655,39.34426229508197
DL Vettori,121,118,46,102.54237288135593,38.983050847457626
DM Bravo,6,5,2,120.0,40.0
DNT Zoysa,11,9,3,122.22222222222223,33.33333333333333
DP Conway,924,669,237,138.11659192825113,35.42600896860987
DP Nannes,4,13,9,30.76923076923077,69.23076923076923
DP Vijaykumar,1,1,0,100.0,0.0
DPMD Jayawardene,1808,1522,619,118.7910643889619,40.67017082785808
DR Martyn,19,26,10,73.07692307692307,38.46153846153847
DR Sams,44,48,26,91.66666666666666,54.166666666666664
DR Shorey,13,20,12,65.0,60.0
DR Smith,2385,1803,832,132.27953410981698,46.1453133666112
DS Kulkarni,104,113,50,92.03539823008849,44.24778761061947
DS Lehmann,18,19,10,94.73684210526315,52.63157894736842
DT Christian,460,408,145,112.74509803921569,35.53921568627451
DT Patil,13,13,5,100.0,38.46153846153847
DW Steyn,167,163,72,102.45398773006136,44.171779141104295
Dhruv Jurel,347,237,74,146.41350210970467,31.223628691983123
E Lewis,654,499,234,131.06212424849699,46.893787575150306
EJG Morgan,1406,1181,512,119.05165114309906,43.353090601185436
ER Dwivedi,24,15,7,160.0,46.666666666666664
F Behardien,14,13,5,107.6923076923077,38.46153846153847
F du Plessis,4571,3435,1219,133.07132459970887,35.48762736535662
FA Allen,14,19,9,73.68421052631578,47.368421052631575
FH Edwards,4,5,3,80.0,60.0
FY Fazal,183,179,74,102.23463687150837,41.340782122905026
Fazalhaq Farooqi,3,13,10,23.076923076923077,76.92307692307693
G Coetzee,14,22,13,63.63636363636363,59.09090909090909
G Gambhir,4217,3524,1357,119.66515323496027,38.50737797956867
GB Hogg,22,22,5,100.0,22.727272727272727
GC Smith,739,691,320,106.9464544138929,46.30969609261939
GC Viljoen,3,7,5,42.857142857142854,71.42857142857143
GD McGrath,4,5,4,80.0,80.0
GD Phillips,65,55,32,118.18181818181819,58.18181818181818
GH Vihari,284,331,146,85.80060422960725,44.10876132930513
GHS Garton,2,4,2,50.0,50.0
GJ Bailey,663,552,207,120.1086956521739,37.5
GJ Maxwell,2772,1842,704,150.4885993485342,38.219326818675356
GR Napier,15,16,7,93.75,43.75
Gulbadin Naib,19,15,4,126.66666666666666,26.666666666666668
Gurkeerat Singh,511,436,170,117.20183486238531,38.99082568807339
H Das,2,5,3,40.0,60.0
H Klaasen,993,613,167,161.99021207177816,27.24306688417618
HC Brook,190,159,70,119.49685534591194,44.0251572327044
HE van der Dussen,22,25,12,88.0,48.0
HF Gurney,1,5,4,20.0,80.0
HH Gibbs,886,837,410,105.8542413381123,48.98446833930705
HH Pandya,2534,1814,656,139.69128996692393,36.163175303197356
HM Amla,577,418,150,138.03827751196172,35.88516746411483
HR Shokeen,66,67,33,98.50746268656717,49.25373134328358
HV Patel,249,214,99,116.35514018691589,46.26168224299065
Harbhajan Singh,833,636,285,130.9748427672956,44.81132075471698
