batter,total_runs,balls_faced,total_dots,player_strike_rate,player_dot_percent
R Ashwin,800,698,267,114.61318051575931,38.25214899713467
R Bhatia,342,290,110,117.9310344827586,37.93103448275862
R Bishnoi,19,17,11,111.76470588235294,64.70588235294117
R Dhawan,210,188,85,111.70212765957446,45.21276595744681
R Dravid,2174,1918,819,113.34723670490095,42.700729927007295
R McLaren,159,178,76,89.32584269662921,42.69662921348314
R Ninan,3,6,3,50.0,50.0
R Parag,1173,909,344,129.04290429042905,37.843784378437846
R Powell,360,254,111,141.73228346456693,43.7007874015748
R Rampaul,51,52,26,98.07692307692307,50.0
R Ravindra,222,146,56,152.05479452054794,38.35616438356164
R Sai Kishore,13,6,3,216.66666666666666,50.0
R Sanjay Yadav,0,2,2,0.0,100.0
R Sathish,270,236,92,114.40677966101696,38.983050847457626
R Sharma,66,77,48,85.71428571428571,62.33766233766234
R Shepherd,115,68,29,169.11764705882354,42.64705882352941
R Shukla,19,23,10,82.6086956521739,43.47826086956522
R Tewatia,1013,788,310,128.55329949238578,39.340101522842644
R Vinay Kumar,310,289,118,107.26643598615917,40.830449826989614
RA Bawa,11,14,7,78.57142857142857,50.0
RA Jadeja,2959,2378,824,124.4322960470984,34.65096719932716
RA Tripathi,2236,1650,622,135.51515151515153,37.696969696969695
RD Chahar,129,127,70,101.5748031496063,55.118110236220474
RD Gaikwad,2380,1781,638,133.63279056709715,35.82257158899495
RE Levi,83,74,41,112.16216216216218,55.4054054054054
RE van der Merwe,159,144,66,110.41666666666667,45.83333333333333
RG More,2,2,0,100.0,0.0
RG Sharma,6630,5183,2036,127.91819409608335,39.28226895620297
RJ Gleeson,2,2,1,100.0,50.0
RJ Harris,117,112,46,104.46428571428572,41.07142857142857
RJ Peterson,32,32,15,100.0,46.875
RJ Quiney,103,105,57,98.09523809523809,54.285714285714285
RJW Topley,3,6,3,50.0,50.0
RK Bhui,10,27,19,37.03703703703704,70.37037037037037
RK Singh,893,654,237,136.54434250764527,36.23853211009174
RM Patidar,799,534,190,149.625468164794,35.580524344569284
RN ten Doeschate,326,238,80,136.9747899159664,33.61344537815126
RP Meredith,0,3,3,0.0,100.0
RP Singh,52,78,41,66.66666666666666,52.56410256410257
RR Bhatkal,0,2,2,0.0,100.0
RR Pant,3297,2296,812,143.59756097560975,35.36585365853659
RR Powar,67,64,27,104.6875,42.1875
RR Raje,20,18,6,111.11111111111111,33.33333333333333
RR Rossouw,473,321,129,147.35202492211837,40.18691588785047
RR Sarwan,73,78,34,93.58974358974359,43.58974358974359
RS Bopara,531,468,175,113.46153846153845,37.39316239316239
RS Gavaskar,2,8,6,25.0,75.0
RS Sodhi,4,2,1,200.0,50.0
RT Ponting,91,129,69,70.54263565891473,53.48837209302325
RV Gomez,50,53,27,94.33962264150944,50.943396226415096
RV Patel,80,76,29,105.26315789473684,38.15789473684211
RV Uthappa,4954,3927,1598,126.15227909345556,40.692640692640694
Rahmanullah Gurbaz,289,228,119,126.75438596491229,52.19298245614035
Ramandeep Singh,170,106,37,160.37735849056605,34.90566037735849
Rashid Khan,545,355,149,153.52112676056336,41.971830985915496
Rasikh Salam,40,40,19,100.0,47.5
Ravi Bishnoi,32,52,30,61.53846153846154,57.692307692307686
S Anirudha,136,121,54,112.39669421487604,44.62809917355372
S Aravind,59,59,26,100.0,44.06779661016949
S Badree,13,25,14,52.0,56.00000000000001
S Badrinath,1441,1245,493,115.74297188755021,39.598393574297184
S Chanderpaul,25,33,20,75.75757575757575,60.60606060606061
S Dhawan,6769,5483,2136,123.45431333211745,38.9567754878716
S Dube,1502,1077,404,139.46146703806872,37.511606313834726
S Gopal,180,173,71,104.04624277456647,41.040462427745666
S Kaul,20,36,23,55.55555555555556,63.888888888888886
S Kaushik,0,1,1,0.0,100.0
S Ladda,0,10,10,0.0,100.0
S Lamichhane,0,1,1,0.0,100.0
S Nadeem,39,88,58,44.31818181818182,65.9090909090909
S Narwal,37,29,12,127.58620689655173,41.37931034482759
S Rana,91,82,33,110.97560975609757,40.243902439024396
S Randiv,2,4,3,50.0,75.0
S Sohal,368,311,158,118.32797427652733,50.80385852090033
S Sreesanth,34,57,43,59.64912280701754,75.43859649122807
S Sriram,31,38,18,81.57894736842105,47.368421052631575
S Tyagi,3,4,1,75.0,25.0
S Vidyut,145,115,55,126.08695652173914,47.82608695652174
SA Abbott,22,18,10,122.22222222222223,55.55555555555556
SA Asnodkar,423,352,164,120.17045454545455,46.590909090909086
SA Yadav,3594,2522,900,142.50594766058683,35.68596352101507
SB Bangar,49,58,28,84.48275862068965,48.275862068965516
SB Dubey,33,21,7,157.14285714285714,33.33333333333333
SB Jakati,28,30,12,93.33333333333333,40.0
SB Joshi,6,16,10,37.5,62.5
SB Styris,131,134,53,97.76119402985076,39.55223880597015
SB Wagh,2,3,2,66.66666666666666,66.66666666666666
SC Ganguly,1349,1326,662,101.73453996983409,49.924585218702866
SD Chitnis,99,92,38,107.6086956521739,41.30434782608695
SD Hope,183,125,48,146.4,38.4
SD Lad,15,13,8,115.38461538461537,61.53846153846154
SE Bond,1,2,1,50.0,50.0
SE Marsh,2489,1913,736,130.10977522216413,38.47360167276529
SE Rutherford,106,107,54,99.06542056074767,50.467289719626166
SH Johnson,6,7,4,85.71428571428571,57.14285714285714
SJ Srivastava,5,5,1,100.0,20.0
SK Raina,5536,4177,1476,132.53531242518554,35.336365812784294
SK Trivedi,42,61,37,68.85245901639344,60.65573770491803
SK Warne,198,219,105,90.41095890410958,47.94520547945205
SL Malinga,88,103,59,85.43689320388349,57.28155339805825
SM Curran,883,673,251,131.2035661218425,37.295690936106986
SM Harwood,9,14,7,64.28571428571429,50.0
SM Katich,241,191,85,126.17801047120419,44.50261780104712
SM Pollock,147,116,47,126.72413793103448,40.51724137931034
SMSM Senanayake,10,17,8,58.82352941176471,47.05882352941176
SN Khan,585,456,161,128.28947368421052,35.30701754385965
SN Thakur,307,228,84,134.64912280701756,36.84210526315789
SO Hetmyer,1243,854,315,145.5503512880562,36.885245901639344
